Phase,ID,Time_uS,Delta_uS,SCH_Deg_s_X,SCH_Deg_s_Y,SCH_Deg_s_Z,SCH_G_X,SCH_G_Y,SCH_G_Z,ADXL_G_X,ADXL_G_Y,ADXL_G_Z,BNO_G_X,BNO_G_Y,BNO_G_Z,BNO_Deg_s_X,BNO_Deg_s_Y,BNO_Deg_s_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z
1,A,7405720,996,,,,,,,0.099,-0.230,-0.990,,,,,,,,,
1,B,3854866,2288,,,,,,,,,,,,,-0.112,0.000,0.000,,,
1,S,3854866,3387,1.440,0.480,2.720,0.056,-0.230,-0.943,,,,,,,,,,,,
1,A,7407711,996,,,,,,,0.100,-0.230,-0.991,,,,,,,,,
1,B,3856898,3288,,,,,,,,,,,,,,,,67.188,-90.062,10.250
1,S,3856898,2032,1.440,0.160,2.080,0.056,-0.230,-0.943,,,,,,,,,,,,
1,A,7411693,995,,,,,,,0.100,-0.230,-0.991,,,,,,,,,
1,B,3860285,2288,,,,,,,,,,0.040,-0.192,-0.985,,,,,,
1,S,3860285,3387,1.440,0.160,1.120,0.055,-0.228,-0.943,,,,,,,,,,,,
1,A,7413685,996,,,,,,,0.099,-0.229,-0.989,,,,,,,,,
1,B,3862975,4288,,,,,,,,,,,,,-0.112,0.000,0.000,,,
1,S,3862975,2690,0.800,0.160,1.440,0.054,-0.228,-0.942,,,,,,,,,,,,
1,A,7417667,996,,,,,,,0.097,-0.227,-0.990,,,,,,,,,
1,B,3867059,2292,,,,,,,,,,,,,,,,68.188,-88.938,9.625
1,S,3867059,4084,0.480,0.480,2.080,0.052,-0.228,-0.940,,,,,,,,,,,,
1,A,7420654,996,,,,,,,0.098,-0.226,-0.992,,,,,,,,,
1,B,3869091,2288,,,,,,,,,,0.039,-0.190,-0.985,,,,,,
1,S,3869091,2032,0.160,0.480,1.440,0.054,-0.227,-0.942,,,,,,,,,,,,
1,A,7422645,995,,,,,,,0.098,-0.228,-0.991,,,,,,,,,
